Delay (Days),Bugs Found,Bugs Fixed,Bug Fix Ratio,Team Size,Hours Worked,Budget (USD),Risk Factor,Critical Issues Found,Critical Issue Ratio,Feature Delivery Ratio,Team Skill Level,Resource Utilization Rate,Client Involvement,Complexity Score
43.699999999999996,91,14,0.15384615384615385,7,1409,160604,1,1,0.01098901098901099,0.8636363636363636,Low,58,High,Low
24.200000000000003,13,1,0.07692307692307693,18,651,167757,10,1,0.07692307692307693,0.5789473684210527,High,51,High,Low
33.1,45,0,0.0,8,389,149595,2,5,0.1111111111111111,0.8775510204081632,Medium,67,Low,Low
36.8,55,54,0.9818181818181818,17,361,194714,5,11,0.2,0.9069767441860465,Low,96,Medium,High
50.0,90,79,0.8777777777777778,14,363,111024,2,23,0.25555555555555554,0.926829268292683,High,54,Low,High
50.0,58,17,0.29310344827586204,13,1637,68717,10,14,0.2413793103448276,0.8888888888888888,Low,73,Medium,Low
50.0,91,21,0.23076923076923078,12,1602,135008,1,34,0.37362637362637363,0.9,Medium,74,Medium,High
41.1,39,2,0.05128205128205128,11,1542,180870,7,10,0.2564102564102564,0.8666666666666667,Low,63,High,High
46.699999999999996,92,58,0.6304347826086957,18,1395,154700,6,9,0.09782608695652174,0.9047619047619048,Low,97,High,High
46.5,38,8,0.21052631578947367,18,1421,66653,7,16,0.42105263157894735,0.9722222222222222,Low,57,Low,High
50.0,58,38,0.6551724137931034,13,1774,139174,2,14,0.2413793103448276,0.8947368421052632,High,50,High,High
24.400000000000002,47,27,0.574468085106383,8,1982,128235,9,5,0.10638297872340426,1.0,High,96,Medium,High
45.3,87,25,0.28735632183908044,15,1200,55105,2,9,0.10344827586206896,0.9285714285714286,High,99,High,Low
50.0,56,56,1.0,20,1871,68143,9,26,0.4642857142857143,0.875,Low,65,High,Low
39.599999999999994,26,4,0.15384615384615385,11,1304,102730,5,10,0.38461538461538464,0.7714285714285715,Low,66,High,High
50.0,61,42,0.6885245901639344,7,892,55514,10,20,0.32786885245901637,0.75,High,78,Low,Low
50.0,80,29,0.3625,7,264,136619,2,37,0.4625,1.0,Low,95,High,Low
50.0,75,30,0.4,20,697,173987,7,17,0.22666666666666666,0.851063829787234,Low,84,Low,High
22.299999999999997,34,6,0.17647058823529413,8,324,155544,6,3,0.08823529411764706,0.8723404255319149,Medium,77,Medium,Medium
25.799999999999997,23,7,0.30434782608695654,19,711,69761,8,3,0.13043478260869565,0.5294117647058824,Medium,58,Medium,Low
44.5,80,12,0.15,20,1185,106032,7,3,0.0375,0.8260869565217391,Low,55,Low,Low
19.6,17,5,0.29411764705882354,20,517,99780,5,6,0.35294117647058826,0.0,Medium,100,Medium,Medium
48.6,37,3,0.08108108108108109,20,1229,189231,3,18,0.4864864864864865,1.0,High,70,Low,Low
19.299999999999997,17,16,0.9411764705882353,8,1366,114543,10,1,0.058823529411764705,0.9375,High,54,High,Low
50.0,86,5,0.05813953488372093,13,618,132361,4,39,0.45348837209302323,0.4,High,87,High,High
28.099999999999998,43,25,0.5813953488372093,19,1472,197585,2,4,0.09302325581395349,0.7872340425531915,Medium,79,Medium,Low
20.299999999999997,19,17,0.8947368421052632,14,523,164867,9,3,0.15789473684210525,0.8918918918918919,Low,72,Low,Low
50.0,100,38,0.38,8,1998,85203,5,39,0.39,0.8260869565217391,Low,92,High,Medium
33.6,24,3,0.125,11,1607,119201,9,11,0.4583333333333333,0.95,Medium,68,High,Low
40.199999999999996,72,32,0.4444444444444444,9,1504,118670,3,3,0.041666666666666664,0.0,Medium,67,Low,Low
31.0,66,54,0.8181818181818182,9,1080,83409,1,0,0.0,0.9166666666666666,High,59,High,Low
27.2,49,23,0.46938775510204084,18,1471,90515,4,1,0.02040816326530612,0.8888888888888888,High,65,High,Low
22.1,30,25,0.8333333333333334,12,746,91732,2,5,0.16666666666666666,1.0,Low,97,Medium,Medium
26.099999999999998,58,55,0.9482758620689655,12,248,100627,7,1,0.017241379310344827,0.9142857142857143,Low,79,Medium,Medium
32.7,52,17,0.3269230769230769,15,256,80236,5,2,0.038461538461538464,0.7727272727272727,High,82,Medium,High
24.200000000000003,32,16,0.5,8,988,99828,5,1,0.03125,0.18181818181818182,Medium,72,High,Medium
19.3,15,13,0.8666666666666667,11,945,163062,2,0,0.0,0.7894736842105263,High,96,High,High
50.0,95,42,0.4421052631578947,18,868,155486,5,39,0.4105263157894737,0.6,Low,96,Medium,High
50.0,80,16,0.2,14,1031,193638,1,12,0.15,0.6774193548387096,Medium,93,High,Low
33.2,48,18,0.375,19,1583,106020,9,6,0.125,0.71875,High,91,Medium,Medium
35.0,70,21,0.3,12,1577,131374,4,5,0.07142857142857142,0.6521739130434783,High,90,High,Medium
17.2,35,9,0.2571428571428571,11,1671,150657,8,0,0.0,0.5714285714285714,Medium,89,Low,Medium
25.5,61,15,0.2459016393442623,19,302,196120,4,4,0.06557377049180328,1.0,Low,99,Medium,Low
22.0,25,14,0.56,18,1901,193621,8,2,0.08,0.7058823529411765,High,85,High,Medium
42.5,30,23,0.7666666666666667,12,762,165309,2,15,0.5,0.8787878787878788,Low,90,Medium,High
38.8,46,15,0.32608695652173914,17,1621,90056,4,8,0.17391304347826086,0.8076923076923077,High,55,Low,Low
26.2,18,13,0.7222222222222222,17,1776,55120,10,6,0.3333333333333333,0.6923076923076923,Medium,76,Low,Low
32.2,58,30,0.5172413793103449,12,1199,107520,5,0,0.0,0.8518518518518519,Medium,76,High,High
26.9,65,62,0.9538461538461539,19,461,190017,1,1,0.015384615384615385,0.8275862068965517,High,93,Medium,High
50.0,60,37,0.6166666666666667,10,302,118198,7,18,0.3,1.0,Low,91,Medium,Low
45.9,51,13,0.2549019607843137,20,239,191405,1,14,0.27450980392156865,0.8,Medium,67,Medium,Medium
50.0,54,14,0.25925925925925924,5,1472,89946,4,20,0.37037037037037035,0.0,Low,98,Low,Low
